,country,year,passenger_cars_per_1000,passengers_transported,gdp_per_capita,population,total_road_spending,total_inland_transport_investment
315,Sweden,2014,470,207280.0,127.0,9644864,2882300564.0,3345524299.0
316,Sweden,2015,474,214434.0,128.0,9747355,3045058528.0,3491464001.0
317,Sweden,2016,477,220945.0,124.0,9851017,3216334118.0,3587992353.0
318,Sweden,2017,479,229817.0,122.0,9995153,3409291370.0,3899397109.0
319,Sweden,2018,476,246490.0,120.0,10120242,3530082775.0,3921329472.0
320,Sweden,2019,473,264603.0,119.0,10230185,3503263529.0,4194961603.0
321,Sweden,2020,476,169163.0,122.0,10327589,3969260400.0,5022406346.0
323,Slovenia,2012,518,15086.0,83.0,2055496,222000000.0,174000000.0
324,Slovenia,2013,518,15995.0,83.0,2058821,227000000.0,244000000.0
325,Slovenia,2014,518,14435.0,83.0,2061085,241000000.0,398000000.0
326,Slovenia,2015,523,14135.0,83.0,2062874,245000000.0,521000000.0
327,Slovenia,2016,531,13650.0,84.0,2064188,253000000.0,233400000.0
328,Slovenia,2017,541,13002.0,86.0,2065895,334000000.0,317000000.0
329,Slovenia,2018,549,13105.0,87.0,2066880,445000000.0,483000000.0
330,Slovenia,2019,556,13259.0,89.0,2080908,428000000.0,514000000.0
331,Slovenia,2020,555,7924.0,89.0,2095861,374000000.0,424000000.0
352,United Kingdom,2012,449,1543261.0,110.0,63495088,9008087782.0,14323368265.0
353,United Kingdom,2015,463,1741562.0,111.0,64853393,12232203857.0,23733545455.0
354,United Kingdom,2016,469,1772563.0,109.0,65379044,11067281719.0,22072500916.0
355,United Kingdom,2017,471,1757359.0,107.0,65844142,11101191645.0,22246139710.0
356,United Kingdom,2018,473,1783232.0,105.0,66273576,11004300407.0,22216153933.0
