COUNTRY,Country,VARIABLE,Variable,MEASURE,Measure,YEAR,Year,Unit Code,Unit,PowerCode Code,PowerCode,Reference Period Code,Reference Period,Value,Flag Codes,Flags
ALB,Albania,I-INV-RD,Road infrastructure investment,NAT,National currency,2008,2008,ALL,Lek,0,Units,,,61380000000,,
ALB,Albania,I-INV-RD,Road infrastructure investment,NAT,National currency,2009,2009,ALL,Lek,0,Units,,,64319000000,,
ALB,Albania,I-INV-RD,Road infrastructure investment,NAT,National currency,2010,2010,ALL,Lek,0,Units,,,33308000000,,
ALB,Albania,I-INV-RD,Road infrastructure investment,NAT,National currency,2011,2011,ALL,Lek,0,Units,,,29486000000,,
ALB,Albania,I-INV-RD,Road infrastructure investment,NAT,National currency,2012,2012,ALL,Lek,0,Units,,,25141000000,,
ALB,Albania,I-INV-RD,Road infrastructure investment,NAT,National currency,2013,2013,ALL,Lek,0,Units,,,32853000000,,
ALB,Albania,I-INV-RD,Road infrastructure investment,NAT,National currency,2014,2014,ALL,Lek,0,Units,,,26971000000,,
ALB,Albania,I-INV-RD,Road infrastructure investment,NAT,National currency,2015,2015,ALL,Lek,0,Units,,,25041000000,,
ALB,Albania,I-INV-RD,Road infrastructure investment,NAT,National currency,2016,2016,ALL,Lek,0,Units,,,12242000000,,
ALB,Albania,I-INV-RD,Road infrastructure investment,NAT,National currency,2017,2017,ALL,Lek,0,Units,,,21339000000,,
ALB,Albania,I-INV-RD,Road infrastructure investment,NAT,National currency,2018,2018,ALL,Lek,0,Units,,,21590000000,,
ALB,Albania,I-INV-RD,Road infrastructure investment,NAT,National currency,2019,2019,ALL,Lek,0,Units,,,21630000000,,
ALB,Albania,I-INV-RD,Road infrastructure investment,NAT,National currency,2020,2020,ALL,Lek,0,Units,,,23923676000,,
ALB,Albania,I-MTN-RD,Road infrastructure maintenance,NAT,National currency,2000,2000,ALL,Lek,0,Units,,,509000000,,
ALB,Albania,I-MTN-RD,Road infrastructure maintenance,NAT,National currency,2001,2001,ALL,Lek,0,Units,,,733000000,,
ALB,Albania,I-MTN-RD,Road infrastructure maintenance,NAT,National currency,2002,2002,ALL,Lek,0,Units,,,903000000,,
ALB,Albania,I-MTN-RD,Road infrastructure maintenance,NAT,National currency,2003,2003,ALL,Lek,0,Units,,,793000000,,
ALB,Albania,I-MTN-RD,Road infrastructure maintenance,NAT,National currency,2004,2004,ALL,Lek,0,Units,,,872000000,,
ALB,Albania,I-MTN-RD,Road infrastructure maintenance,NAT,National currency,2005,2005,ALL,Lek,0,Units,,,883000000,,
ALB,Albania,I-MTN-RD,Road infrastructure maintenance,NAT,National currency,2006,2006,ALL,Lek,0,Units,,,698000000,,
ALB,Albania,I-MTN-RD,Road infrastructure maintenance,NAT,National currency,2007,2007,ALL,Lek,0,Units,,,748000000,,
ALB,Albania,I-MTN-RD,Road infrastructure maintenance,NAT,National currency,2008,2008,ALL,Lek,0,Units,,,989000000,,
ALB,Albania,I-MTN-RD,Road infrastructure maintenance,NAT,National currency,2009,2009,ALL,Lek,0,Units,,,1155000000,,
ALB,Albania,I-MTN-RD,Road infrastructure maintenance,NAT,National currency,2010,2010,ALL,Lek,0,Units,,,949000000,,
ALB,Albania,I-MTN-RD,Road infrastructure maintenance,NAT,National currency,2011,2011,ALL,Lek,0,Units,,,1078000000,,
ALB,Albania,I-MTN-RD,Road infrastructure maintenance,NAT,National currency,2012,2012,ALL,Lek,0,Units,,,925000000,,
ALB,Albania,I-MTN-RD,Road infrastructure maintenance,NAT,National currency,2013,2013,ALL,Lek,0,Units,,,1227000000,,
ALB,Albania,I-MTN-RD,Road infrastructure maintenance,NAT,National currency,2014,2014,ALL,Lek,0,Units,,,2136000000,,
ALB,Albania,I-MTN-RD,Road infrastructure maintenance,NAT,National currency,2015,2015,ALL,Lek,0,Units,,,1170000000,,
ALB,Albania,I-MTN-RD,Road infrastructure maintenance,NAT,National currency,2016,2016,ALL,Lek,0,Units,,,1786000000,,
ALB,Albania,I-MTN-RD,Road infrastructure maintenance,NAT,National currency,2017,2017,ALL,Lek,0,Units,,,1824000000,,
ALB,Albania,I-MTN-RD,Road infrastructure maintenance,NAT,National currency,2018,2018,ALL,Lek,0,Units,,,1715000000,,
ALB,Albania,I-MTN-RD,Road infrastructure maintenance,NAT,National currency,2019,2019,ALL,Lek,0,Units,,,1605000000,,
ALB,Albania,I-MTN-RD,Road infrastructure maintenance,NAT,National currency,2020,2020,ALL,Lek,0,Units,,,1121686000,,
ALB,Albania,I-INV-MTN-RD,Total road spending,NAT,National currency,2000,2000,ALL,Lek,0,Units,,,14876000000,,
ALB,Albania,I-INV-MTN-RD,Total road spending,NAT,National currency,2001,2001,ALL,Lek,0,Units,,,14552000000,,
ALB,Albania,I-INV-MTN-RD,Total road spending,NAT,National currency,2002,2002,ALL,Lek,0,Units,,,9432000000,,
ALB,Albania,I-INV-MTN-RD,Total road spending,NAT,National currency,2003,2003,ALL,Lek,0,Units,,,9151000000,,
ALB,Albania,I-INV-MTN-RD,Total road spending,NAT,National currency,2004,2004,ALL,Lek,0,Units,,,12501000000,,
ALB,Albania,I-INV-MTN-RD,Total road spending,NAT,National currency,2005,2005,ALL,Lek,0,Units,,,9352000000,,
ALB,Albania,I-INV-MTN-RD,Total road spending,NAT,National currency,2006,2006,ALL,Lek,0,Units,,,22265000000,,
ALB,Albania,I-INV-MTN-RD,Total road spending,NAT,National currency,2007,2007,ALL,Lek,0,Units,,,32081000000,,
ALB,Albania,I-INV-MTN-RD,Total road spending,NAT,National currency,2008,2008,ALL,Lek,0,Units,,,62369000000,,
ALB,Albania,I-INV-MTN-RD,Total road spending,NAT,National currency,2009,2009,ALL,Lek,0,Units,,,65474000000,,
ALB,Albania,I-INV-MTN-RD,Total road spending,NAT,National currency,2010,2010,ALL,Lek,0,Units,,,34257000000,,
ALB,Albania,I-INV-MTN-RD,Total road spending,NAT,National currency,2011,2011,ALL,Lek,0,Units,,,30564000000,,
ALB,Albania,I-INV-MTN-RD,Total road spending,NAT,National currency,2012,2012,ALL,Lek,0,Units,,,26066000000,,
ALB,Albania,I-INV-MTN-RD,Total road spending,NAT,National currency,2013,2013,ALL,Lek,0,Units,,,34080000000,,
ALB,Albania,I-INV-MTN-RD,Total road spending,NAT,National currency,2014,2014,ALL,Lek,0,Units,,,29107000000,,
ALB,Albania,I-INV-MTN-RD,Total road spending,NAT,National currency,2015,2015,ALL,Lek,0,Units,,,26211000000,,
ALB,Albania,I-INV-MTN-RD,Total road spending,NAT,National currency,2016,2016,ALL,Lek,0,Units,,,14028000000,,
ALB,Albania,I-INV-MTN-RD,Total road spending,NAT,National currency,2017,2017,ALL,Lek,0,Units,,,23163000000,,
ALB,Albania,I-INV-MTN-RD,Total road spending,NAT,National currency,2018,2018,ALL,Lek,0,Units,,,23305000000,,
ALB,Albania,I-INV-MTN-RD,Total road spending,NAT,National currency,2019,2019,ALL,Lek,0,Units,,,23235000000,,
ALB,Albania,I-INV-MTN-RD,Total road spending,NAT,National currency,2020,2020,ALL,Lek,0,Units,,,25045362000,,
ALB,Albania,I-INV-TOT-INLD,Total inland transport infrastructure investment,EUR,Euro,2000,2000,EUR,Euro,0,Units,,,110421156.9,,
ALB,Albania,I-INV-TOT-INLD,Total inland transport infrastructure investment,EUR,Euro,2001,2001,EUR,Euro,0,Units,,,109000161.1,,
ALB,Albania,I-INV-TOT-INLD,Total inland transport infrastructure investment,EUR,Euro,2002,2002,EUR,Euro,0,Units,,,70095912.37,,
ALB,Albania,I-INV-TOT-INLD,Total inland transport infrastructure investment,EUR,Euro,2003,2003,EUR,Euro,0,Units,,,61524588.02,,
ALB,Albania,I-INV-TOT-INLD,Total inland transport infrastructure investment,EUR,Euro,2004,2004,EUR,Euro,0,Units,,,93169404.47,,
ALB,Albania,I-INV-TOT-INLD,Total inland transport infrastructure investment,EUR,Euro,2005,2005,EUR,Euro,0,Units,,,70617602.06,,
ALB,Albania,I-INV-TOT-INLD,Total inland transport infrastructure investment,EUR,Euro,2006,2006,EUR,Euro,0,Units,,,176588442.9,,
ALB,Albania,I-INV-TOT-INLD,Total inland transport infrastructure investment,EUR,Euro,2007,2007,EUR,Euro,0,Units,,,253972744.5,,
ALB,Albania,I-INV-TOT-INLD,Total inland transport infrastructure investment,EUR,Euro,2008,2008,EUR,Euro,0,Units,,,501577842.1,,
ALB,Albania,I-INV-TOT-INLD,Total inland transport infrastructure investment,EUR,Euro,2009,2009,EUR,Euro,0,Units,,,487110094,,
ALB,Albania,I-INV-TOT-INLD,Total inland transport infrastructure investment,EUR,Euro,2010,2010,EUR,Euro,0,Units,,,242449465.2,,
ALB,Albania,I-INV-TOT-INLD,Total inland transport infrastructure investment,EUR,Euro,2011,2011,EUR,Euro,0,Units,,,211073670.5,,
ALB,Albania,I-INV-TOT-INLD,Total inland transport infrastructure investment,EUR,Euro,2012,2012,EUR,Euro,0,Units,,,181381937.8,,
ALB,Albania,I-INV-TOT-INLD,Total inland transport infrastructure investment,EUR,Euro,2013,2013,EUR,Euro,0,Units,,,234855223.7,,
ALB,Albania,I-INV-TOT-INLD,Total inland transport infrastructure investment,EUR,Euro,2014,2014,EUR,Euro,0,Units,,,193433092.6,,
ALB,Albania,I-INV-TOT-INLD,Total inland transport infrastructure investment,EUR,Euro,2015,2015,EUR,Euro,0,Units,,,179805596.6,,
ALB,Albania,I-INV-TOT-INLD,Total inland transport infrastructure investment,EUR,Euro,2016,2016,EUR,Euro,0,Units,,,89140343.98,,
ALB,Albania,I-INV-TOT-INLD,Total inland transport infrastructure investment,EUR,Euro,2017,2017,EUR,Euro,0,Units,,,159039587.2,,
ALB,Albania,I-INV-TOT-INLD,Total inland transport infrastructure investment,EUR,Euro,2018,2018,EUR,Euro,0,Units,,,169584096.7,,
ALB,Albania,I-INV-TOT-INLD,Total inland transport infrastructure investment,EUR,Euro,2019,2019,EUR,Euro,0,Units,,,176958860.7,,
ALB,Albania,I-INV-TOT-INLD,Total inland transport infrastructure investment,EUR,Euro,2020,2020,EUR,Euro,0,Units,,,193777446.1,,
ALB,Albania,I-INV-RD,Road infrastructure investment,EUR,Euro,2000,2000,EUR,Euro,0,Units,,,108347272.4,,
ALB,Albania,I-INV-RD,Road infrastructure investment,EUR,Euro,2001,2001,EUR,Euro,0,Units,,,107567894.5,,
ALB,Albania,I-INV-RD,Road infrastructure investment,EUR,Euro,2002,2002,EUR,Euro,0,Units,,,64458009.34,,
ALB,Albania,I-INV-RD,Road infrastructure investment,EUR,Euro,2003,2003,EUR,Euro,0,Units,,,60782802.2,,
ALB,Albania,I-INV-RD,Road infrastructure investment,EUR,Euro,2004,2004,EUR,Euro,0,Units,,,91078261.99,,
ALB,Albania,I-INV-RD,Road infrastructure investment,EUR,Euro,2005,2005,EUR,Euro,0,Units,,,68193896.45,,
ALB,Albania,I-INV-RD,Road infrastructure investment,EUR,Euro,2006,2006,EUR,Euro,0,Units,,,175223508.1,,
ALB,Albania,I-INV-RD,Road infrastructure investment,EUR,Euro,2007,2007,EUR,Euro,0,Units,,,253261449.4,,
ALB,Albania,I-INV-RD,Road infrastructure investment,EUR,Euro,2008,2008,EUR,Euro,0,Units,,,499989410.5,,
ALB,Albania,I-INV-RD,Road infrastructure investment,EUR,Euro,2009,2009,EUR,Euro,0,Units,,,486769531.6,,
ALB,Albania,I-INV-RD,Road infrastructure investment,EUR,Euro,2010,2010,EUR,Euro,0,Units,,,241919259,,
ALB,Albania,I-INV-RD,Road infrastructure investment,EUR,Euro,2011,2011,EUR,Euro,0,Units,,,210147158.6,,
ALB,Albania,I-INV-RD,Road infrastructure investment,EUR,Euro,2012,2012,EUR,Euro,0,Units,,,180820940.4,,
ALB,Albania,I-INV-RD,Road infrastructure investment,EUR,Euro,2013,2013,EUR,Euro,0,Units,,,234163844.1,,
ALB,Albania,I-INV-RD,Road infrastructure investment,EUR,Euro,2014,2014,EUR,Euro,0,Units,,,192718552.7,,
ALB,Albania,I-INV-RD,Road infrastructure investment,EUR,Euro,2015,2015,EUR,Euro,0,Units,,,179236200.8,,
ALB,Albania,I-INV-RD,Road infrastructure investment,EUR,Euro,2016,2016,EUR,Euro,0,Units,,,89140343.98,,
ALB,Albania,I-INV-RD,Road infrastructure investment,EUR,Euro,2017,2017,EUR,Euro,0,Units,,,159032879.8,,
ALB,Albania,I-INV-RD,Road infrastructure investment,EUR,Euro,2018,2018,EUR,Euro,0,Units,,,169252490.4,,
ALB,Albania,I-INV-RD,Road infrastructure investment,EUR,Euro,2019,2019,EUR,Euro,0,Units,,,175879111,,
ALB,Albania,I-INV-RD,Road infrastructure investment,EUR,Euro,2020,2020,EUR,Euro,0,Units,,,193206476.3,,
ALB,Albania,I-MTN-RD,Road infrastructure maintenance,EUR,Euro,2000,2000,EUR,Euro,0,Units,,,3838571.84,,
ALB,Albania,I-MTN-RD,Road infrastructure maintenance,EUR,Euro,2001,2001,EUR,Euro,0,Units,,,5705714.355,,
ALB,Albania,I-MTN-RD,Road infrastructure maintenance,EUR,Euro,2002,2002,EUR,Euro,0,Units,,,6824432.223,,
ALB,Albania,I-MTN-RD,Road infrastructure maintenance,EUR,Euro,2003,2003,EUR,Euro,0,Units,,,5767021.075,,
ALB,Albania,I-MTN-RD,Road infrastructure maintenance,EUR,Euro,2004,2004,EUR,Euro,0,Units,,,6829499.05,,
ALB,Albania,I-MTN-RD,Road infrastructure maintenance,EUR,Euro,2005,2005,EUR,Euro,0,Units,,,7110073.275,,
ALB,Albania,I-MTN-RD,Road infrastructure maintenance,EUR,Euro,2006,2006,EUR,Euro,0,Units,,,5670979.211,,
ALB,Albania,I-MTN-RD,Road infrastructure maintenance,EUR,Euro,2007,2007,EUR,Euro,0,Units,,,6046007.857,,
ALB,Albania,I-MTN-RD,Road infrastructure maintenance,EUR,Euro,2008,2008,EUR,Euro,0,Units,,,8056199.527,,
ALB,Albania,I-MTN-RD,Road infrastructure maintenance,EUR,Euro,2009,2009,EUR,Euro,0,Units,,,8741099.971,,
ALB,Albania,I-MTN-RD,Road infrastructure maintenance,EUR,Euro,2010,2010,EUR,Euro,0,Units,,,6892679.742,,
ALB,Albania,I-MTN-RD,Road infrastructure maintenance,EUR,Euro,2011,2011,EUR,Euro,0,Units,,,7682921.962,,
ALB,Albania,I-MTN-RD,Road infrastructure maintenance,EUR,Euro,2012,2012,EUR,Euro,0,Units,,,6652852.707,,
ALB,Albania,I-MTN-RD,Road infrastructure maintenance,EUR,Euro,2013,2013,EUR,Euro,0,Units,,,8745595.128,,
ALB,Albania,I-MTN-RD,Road infrastructure maintenance,EUR,Euro,2014,2014,EUR,Euro,0,Units,,,15262571.97,,
ALB,Albania,I-MTN-RD,Road infrastructure maintenance,EUR,Euro,2015,2015,EUR,Euro,0,Units,,,8374519.986,,
ALB,Albania,I-MTN-RD,Road infrastructure maintenance,EUR,Euro,2016,2016,EUR,Euro,0,Units,,,13004791.24,,
ALB,Albania,I-MTN-RD,Road infrastructure maintenance,EUR,Euro,2017,2017,EUR,Euro,0,Units,,,13593700.39,,
ALB,Albania,I-MTN-RD,Road infrastructure maintenance,EUR,Euro,2018,2018,EUR,Euro,0,Units,,,13444558.64,,
ALB,Albania,I-MTN-RD,Road infrastructure maintenance,EUR,Euro,2019,2019,EUR,Euro,0,Units,,,13050669.12,,
ALB,Albania,I-MTN-RD,Road infrastructure maintenance,EUR,Euro,2020,2020,EUR,Euro,0,Units,,,9058683.103,,
ALB,Albania,I-INV-MTN-RD,Total road spending,EUR,Euro,2000,2000,EUR,Euro,0,Units,,,112185844.2,,
ALB,Albania,I-INV-MTN-RD,Total road spending,EUR,Euro,2001,2001,EUR,Euro,0,Units,,,113273608.9,,
ALB,Albania,I-INV-MTN-RD,Total road spending,EUR,Euro,2002,2002,EUR,Euro,0,Units,,,71282441.56,,
ALB,Albania,I-INV-MTN-RD,Total road spending,EUR,Euro,2003,2003,EUR,Euro,0,Units,,,66549823.28,,
ALB,Albania,I-INV-MTN-RD,Total road spending,EUR,Euro,2004,2004,EUR,Euro,0,Units,,,97907761.04,,
ALB,Albania,I-INV-MTN-RD,Total road spending,EUR,Euro,2005,2005,EUR,Euro,0,Units,,,75303969.72,,
ALB,Albania,I-INV-MTN-RD,Total road spending,EUR,Euro,2006,2006,EUR,Euro,0,Units,,,180894487.3,,
ALB,Albania,I-INV-MTN-RD,Total road spending,EUR,Euro,2007,2007,EUR,Euro,0,Units,,,259307457.3,,
ALB,Albania,I-INV-MTN-RD,Total road spending,EUR,Euro,2008,2008,EUR,Euro,0,Units,,,508045610,,
ALB,Albania,I-INV-MTN-RD,Total road spending,EUR,Euro,2009,2009,EUR,Euro,0,Units,,,495510631.6,,
ALB,Albania,I-INV-MTN-RD,Total road spending,EUR,Euro,2010,2010,EUR,Euro,0,Units,,,248811938.8,,
ALB,Albania,I-INV-MTN-RD,Total road spending,EUR,Euro,2011,2011,EUR,Euro,0,Units,,,217830080.6,,
ALB,Albania,I-INV-MTN-RD,Total road spending,EUR,Euro,2012,2012,EUR,Euro,0,Units,,,187473793.2,,
ALB,Albania,I-INV-MTN-RD,Total road spending,EUR,Euro,2013,2013,EUR,Euro,0,Units,,,242909439.3,,
ALB,Albania,I-INV-MTN-RD,Total road spending,EUR,Euro,2014,2014,EUR,Euro,0,Units,,,207981124.7,,
ALB,Albania,I-INV-MTN-RD,Total road spending,EUR,Euro,2015,2015,EUR,Euro,0,Units,,,187610720.8,,
ALB,Albania,I-INV-MTN-RD,Total road spending,EUR,Euro,2016,2016,EUR,Euro,0,Units,,,102145135.2,,
ALB,Albania,I-INV-MTN-RD,Total road spending,EUR,Euro,2017,2017,EUR,Euro,0,Units,,,172626580.2,,
ALB,Albania,I-INV-MTN-RD,Total road spending,EUR,Euro,2018,2018,EUR,Euro,0,Units,,,182697049,,
ALB,Albania,I-INV-MTN-RD,Total road spending,EUR,Euro,2019,2019,EUR,Euro,0,Units,,,188929780.1,,
ALB,Albania,I-INV-MTN-RD,Total road spending,EUR,Euro,2020,2020,EUR,Euro,0,Units,,,202265159.4,,
ALB,Albania,I-INV-TOT-INLD,Total inland transport infrastructure investment,EUR_CONST,Constant Euro,2000,2000,EUR,Euro,0,Units,,,130421616.1,,
ALB,Albania,I-INV-TOT-INLD,Total inland transport infrastructure investment,EUR_CONST,Constant Euro,2001,2001,EUR,Euro,0,Units,,,117318191.3,,
ALB,Albania,I-INV-TOT-INLD,Total inland transport infrastructure investment,EUR_CONST,Constant Euro,2002,2002,EUR,Euro,0,Units,,,77090021.48,,
ALB,Albania,I-INV-TOT-INLD,Total inland transport infrastructure investment,EUR_CONST,Constant Euro,2003,2003,EUR,Euro,0,Units,,,68452801.63,,
ALB,Albania,I-INV-TOT-INLD,Total inland transport infrastructure investment,EUR_CONST,Constant Euro,2004,2004,EUR,Euro,0,Units,,,93369528.95,,
ALB,Albania,I-INV-TOT-INLD,Total inland transport infrastructure investment,EUR_CONST,Constant Euro,2005,2005,EUR,Euro,0,Units,,,67889138.33,,
ALB,Albania,I-INV-TOT-INLD,Total inland transport infrastructure investment,EUR_CONST,Constant Euro,2006,2006,EUR,Euro,0,Units,,,166493940.4,,
ALB,Albania,I-INV-TOT-INLD,Total inland transport infrastructure investment,EUR_CONST,Constant Euro,2007,2007,EUR,Euro,0,Units,,,234802492.6,,
ALB,Albania,I-INV-TOT-INLD,Total inland transport infrastructure investment,EUR_CONST,Constant Euro,2008,2008,EUR,Euro,0,Units,,,454574607.8,,
ALB,Albania,I-INV-TOT-INLD,Total inland transport infrastructure investment,EUR_CONST,Constant Euro,2009,2009,EUR,Euro,0,Units,,,475164272.2,,
ALB,Albania,I-INV-TOT-INLD,Total inland transport infrastructure investment,EUR_CONST,Constant Euro,2010,2010,EUR,Euro,0,Units,,,245445499.3,,
ALB,Albania,I-INV-TOT-INLD,Total inland transport infrastructure investment,EUR_CONST,Constant Euro,2011,2011,EUR,Euro,0,Units,,,216892279.6,,
ALB,Albania,I-INV-TOT-INLD,Total inland transport infrastructure investment,EUR_CONST,Constant Euro,2012,2012,EUR,Euro,0,Units,,,183408538.2,,
ALB,Albania,I-INV-TOT-INLD,Total inland transport infrastructure investment,EUR_CONST,Constant Euro,2013,2013,EUR,Euro,0,Units,,,237279318.4,,
ALB,Albania,I-INV-TOT-INLD,Total inland transport infrastructure investment,EUR_CONST,Constant Euro,2014,2014,EUR,Euro,0,Units,,,194365702.4,,
ALB,Albania,I-INV-TOT-INLD,Total inland transport infrastructure investment,EUR_CONST,Constant Euro,2015,2015,EUR,Euro,0,Units,,,179805596.6,,
ALB,Albania,I-INV-TOT-INLD,Total inland transport infrastructure investment,EUR_CONST,Constant Euro,2016,2016,EUR,Euro,0,Units,,,87599513.73,,
ALB,Albania,I-INV-TOT-INLD,Total inland transport infrastructure investment,EUR_CONST,Constant Euro,2017,2017,EUR,Euro,0,Units,,,151691748.9,,
ALB,Albania,I-INV-TOT-INLD,Total inland transport infrastructure investment,EUR_CONST,Constant Euro,2018,2018,EUR,Euro,0,Units,,,152804669.4,,
ALB,Albania,I-INV-TOT-INLD,Total inland transport infrastructure investment,EUR_CONST,Constant Euro,2019,2019,EUR,Euro,0,Units,,,153261491.6,,
ALB,Albania,I-INV-TOT-INLD,Total inland transport infrastructure investment,EUR_CONST,Constant Euro,2020,2020,EUR,Euro,0,Units,,,168612210.8,,
ALB,Albania,I-INV-RD,Road infrastructure investment,EUR_CONST,Constant Euro,2000,2000,EUR,Euro,0,Units,,,127972091.1,,
ALB,Albania,I-INV-RD,Road infrastructure investment,EUR_CONST,Constant Euro,2001,2001,EUR,Euro,0,Units,,,115776625.4,,
ALB,Albania,I-INV-RD,Road infrastructure investment,EUR_CONST,Constant Euro,2002,2002,EUR,Euro,0,Units,,,70889573.39,,
ALB,Albania,I-INV-RD,Road infrastructure investment,EUR_CONST,Constant Euro,2003,2003,EUR,Euro,0,Units,,,67627484.16,,
ALB,Albania,I-INV-RD,Road infrastructure investment,EUR_CONST,Constant Euro,2004,2004,EUR,Euro,0,Units,,,91273894.77,,
ALB,Albania,I-INV-RD,Road infrastructure investment,EUR_CONST,Constant Euro,2005,2005,EUR,Euro,0,Units,,,65559077.83,,
ALB,Albania,I-INV-RD,Road infrastructure investment,EUR_CONST,Constant Euro,2006,2006,EUR,Euro,0,Units,,,165207030.8,,
ALB,Albania,I-INV-RD,Road infrastructure investment,EUR_CONST,Constant Euro,2007,2007,EUR,Euro,0,Units,,,234144887.2,,
ALB,Albania,I-INV-RD,Road infrastructure investment,EUR_CONST,Constant Euro,2008,2008,EUR,Euro,0,Units,,,453135029.3,,
ALB,Albania,I-INV-RD,Road infrastructure investment,EUR_CONST,Constant Euro,2009,2009,EUR,Euro,0,Units,,,474832061.7,,
ALB,Albania,I-INV-RD,Road infrastructure investment,EUR_CONST,Constant Euro,2010,2010,EUR,Euro,0,Units,,,244908741.3,,
ALB,Albania,I-INV-RD,Road infrastructure investment,EUR_CONST,Constant Euro,2011,2011,EUR,Euro,0,Units,,,215940226.7,,
ALB,Albania,I-INV-RD,Road infrastructure investment,EUR_CONST,Constant Euro,2012,2012,EUR,Euro,0,Units,,,182841272.8,,
ALB,Albania,I-INV-RD,Road infrastructure investment,EUR_CONST,Constant Euro,2013,2013,EUR,Euro,0,Units,,,236580802.6,,
ALB,Albania,I-INV-RD,Road infrastructure investment,EUR_CONST,Constant Euro,2014,2014,EUR,Euro,0,Units,,,193647717.5,,
ALB,Albania,I-INV-RD,Road infrastructure investment,EUR_CONST,Constant Euro,2015,2015,EUR,Euro,0,Units,,,179236200.8,,
